[2026/03/14  8:02:02.00] Starting process 
[08:02:02] [db] config: write_key_type=service_role read_key_type=service_role
[08:02:03] [pipeline_run] started: process (id=211, trigger=scheduler)
[08:02:03] [filings_process] Step 1: SQLite → Supabase push
[08:02:03] [PUSH] SQLite総行数: 91727, 今回対象: 91727 件
[08:02:03] [Phase 1/4] companies 一括 upsert...
[08:02:05]   → 2853 社 完了 (1.3秒)
[08:02:05] [Phase 2/4] periods 一括 upsert...
[08:02:25]   → 91727 期間 完了 (21.8秒)
[08:02:25] [Phase 3/4] disclosures 一括 upsert...
[08:02:25]   対象 disclosure: 91727 件
[08:02:46]   既存 disclosure: 183322 件
[08:02:46]   新規なし（全件既存）
[08:02:46]   → 183322 disclosure 完了 (42.3秒)
[08:02:46] [Phase 4/4] facts 一括 upsert (batch=500, offset=0)...
[08:03:27]   batch 182: 44571/91727 (48.6%) facts=91166 sanitized=1 経過=84秒 残り\u224889秒
[08:03:27]   batch 183: 44818/91727 (48.9%) facts=91666 sanitized=1 経過=84秒 残り\u224888秒
[08:03:28]   batch 184: 45044/91727 (49.1%) facts=92168 sanitized=1 経過=84秒 残り\u224887秒
[08:03:28]   batch 185: 45255/91727 (49.3%) facts=92669 sanitized=1 経過=85秒 残り\u224887秒
[08:03:28]   batch 186: 45538/91727 (49.6%) facts=93169 sanitized=1 経過=85秒 残り\u224886秒
[08:03:28]   batch 187: 45843/91727 (50.0%) facts=93669 sanitized=1 経過=85秒 残り\u224885秒
[08:03:29]   batch 188: 46171/91727 (50.3%) facts=94169 sanitized=1 経過=85秒 残り\u224884秒
[08:03:29]   batch 189: 46426/91727 (50.6%) facts=94671 sanitized=1 経過=86秒 残り\u224884秒
[08:03:29]   batch 190: 46675/91727 (50.9%) facts=95173 sanitized=1 経過=86秒 残り\u224883秒
[08:03:29]   batch 191: 46897/91727 (51.1%) facts=95673 sanitized=1 経過=86秒 残り\u224882秒
[08:03:30]   batch 192: 47132/91727 (51.4%) facts=96173 sanitized=1 経過=86秒 残り\u224882秒
[08:03:30]   batch 193: 47383/91727 (51.7%) facts=96675 sanitized=1 経過=86秒 残り\u224881秒
[08:03:30]   batch 194: 47603/91727 (51.9%) facts=97175 sanitized=1 経過=87秒 残り\u224880秒
[08:03:30]   batch 195: 47818/91727 (52.1%) facts=97676 sanitized=1 経過=87秒 残り\u224880秒
