ticker,period,quarter,sales,gross_profit,operating_profit
19600,2026-03-31,1Q,13969000000,,272000000
19660,2021-03-31,FY,47794000000,,2036000000
19660,2022-03-31,1Q,11387000000,,181000000
19660,2022-03-31,2Q,22098000000,,719000000
19660,2022-03-31,3Q,32955000000,,689000000
19660,2022-03-31,FY,47243000000,,1200000000
19660,2023-03-31,1Q,15661000000,,829000000
19660,2023-03-31,2Q,28798000000,,1023000000
19660,2023-03-31,3Q,41544000000,,1452000000
19660,2023-03-31,FY,57881000000,,2680000000
19660,2024-03-31,1Q,13684000000,,503000000
19660,2024-03-31,2Q,27895000000,,1581000000
19660,2024-03-31,3Q,40109000000,,2185000000
19660,2024-03-31,FY,52257000000,,2400000000
19660,2025-03-31,1Q,13838000000,,570000000
19660,2025-03-31,2Q,28132000000,,1645000000
19660,2025-03-31,3Q,43582000000,,1904000000
19660,2025-03-31,FY,58067000000,,2933000000
19660,2026-03-31,1Q,11886000000,,4000000
19660,2026-03-31,2Q,25359000000,,254000000
19660,2026-03-31,3Q,37943000000,,338000000
19670,2021-03-20,FY,43767000000,,3081000000
19670,2022-03-20,1Q,10328000000,,925000000
19670,2022-03-20,2Q,22281000000,,1826000000
19670,2022-03-20,3Q,33918000000,,2797000000
19670,2022-03-20,FY,45576000000,,3677000000
19670,2023-03-20,1Q,11386000000,,671000000
19670,2023-03-20,2Q,21135000000,,1011000000
19670,2023-03-20,2Q,21135000000,,1011000000
19670,2023-03-20,3Q,31801000000,,1231000000
19760,2021-03-31,FY,50533000000,,6399000000
19760,2022-03-31,1Q,10965000000,,990000000
19760,2022-03-31,2Q,22323000000,,1962000000
19760,2022-03-31,3Q,34372000000,,3359000000
19760,2022-03-31,FY,48389000000,,5339000000
19760,2023-03-31,1Q,12051000000,,1089000000
19760,2023-03-31,2Q,25722000000,,2799000000
19760,2023-03-31,3Q,39891000000,,4266000000
19760,2023-03-31,FY,55890000000,,6830000000
19760,2024-03-31,1Q,12534000000,,812000000
19760,2024-03-31,2Q,26578000000,,2722000000
19760,2024-03-31,3Q,42549000000,,4768000000
19760,2024-03-31,FY,60377000000,,8061000000
19760,2025-03-31,1Q,14812000000,,1526000000
19760,2025-03-31,2Q,31576000000,,3925000000
19760,2025-03-31,3Q,47294000000,,6010000000
19760,2025-03-31,FY,66283000000,,10613000000
19760,2026-03-31,1Q,13840000000,,1099000000
19760,2026-03-31,2Q,28300000000,,2799000000
19760,2026-03-31,3Q,44145000000,,5480000000
19790,2021-03-31,FY,202548000000,,11690000000
19790,2022-03-31,1Q,42050000000,,1707000000
19790,2022-03-31,2Q,92413000000,,2763000000
19790,2022-03-31,3Q,144859000000,,5578000000
19790,2022-03-31,FY,209261000000,,9428000000
19790,2023-03-31,1Q,39811000000,,1413000000
19790,2023-03-31,2Q,85779000000,,3847000000
19790,2023-03-31,3Q,141979000000,,7301000000
19790,2023-03-31,FY,214793000000,,11556000000
19790,2024-03-31,1Q,56582000000,,3288000000
19790,2024-03-31,2Q,130411000000,,7427000000
19790,2024-03-31,3Q,205285000000,,12122000000
19790,2024-03-31,FY,293556000000,,18270000000
19790,2025-03-31,1Q,53089000000,,2564000000
19790,2025-03-31,2Q,114626000000,,6274000000
19790,2025-03-31,3Q,184766000000,,9926000000
19790,2025-03-31,FY,276212000000,,17971000000
19790,2026-03-31,1Q,64058000000,,3983000000
19790,2026-03-31,2Q,130469000000,,10470000000
19790,2026-03-31,3Q,202229000000,,15329000000
19800,2021-03-31,FY,157712000000,,8754000000
19800,2022-03-31,1Q,27256000000,,528000000
19800,2022-03-31,2Q,65780000000,,2768000000
19800,2022-03-31,3Q,108257000000,,4060000000
19800,2022-03-31,FY,162929000000,,7584000000
19800,2023-03-31,1Q,35342000000,,818000000
19800,2023-03-31,2Q,82690000000,,3650000000
19800,2023-03-31,3Q,130088000000,,5171000000
19800,2023-03-31,FY,185961000000,,8428000000
19800,2024-03-31,1Q,40731000000,,691000000
19800,2024-03-31,2Q,91306000000,,3031000000
19800,2024-03-31,3Q,139504000000,,6342000000
19800,2024-03-31,FY,197431000000,,10877000000
19800,2025-03-31,1Q,44325000000,,1725000000
19800,2025-03-31,2Q,105591000000,,6783000000
19800,2025-03-31,3Q,185850000000,,16400000000
19800,2025-03-31,FY,262732000000,,23037000000
19800,2026-03-31,1Q,60147000000,,9703000000
19800,2026-03-31,2Q,118359000000,,17583000000
19800,2026-03-31,3Q,180189000000,,26525000000
19940,2021-12-31,1Q,6408000000,,1261000000
19940,2021-12-31,2Q,8181000000,,1438000000
19940,2021-12-31,3Q,10156000000,,1789000000
19940,2021-12-31,FY,12233000000,,1985000000
19940,2022-12-31,1Q,1880000000,,150000000
19940,2022-12-31,2Q,3541000000,,76000000
19940,2022-12-31,3Q,5512000000,,154000000
19940,2022-12-31,FY,7530000000,,170000000
19940,2023-12-31,1Q,1818000000,,87000000
19940,2023-12-31,2Q,3773000000,,236000000
19940,2023-12-31,3Q,5431000000,,284000000
19940,2023-12-31,FY,7332000000,,355000000
19940,2024-12-31,1Q,2170000000,,106000000
